query size,max query,type
8,416.666666666667,MonAggr
9,416.666666666667,MonAggr
10,416.666666666667,MonAggr
11,416.666666666667,MonAggr
12,416.666666666667,MonAggr
13,416.666666666667,MonAggr
14,416.666666666667,MonAggr
15,416.666666666667,MonAggr
16,416.666666666667,MonAggr
17,416.666666666667,MonAggr
18,416.666666666667,MonAggr
19,416.666666666667,MonAggr
20,416.666666666667,MonAggr
21,416.666666666667,MonAggr
22,416.666666666667,MonAggr
23,416.666666666667,MonAggr
24,416.666666666667,MonAggr
8,52.0833333333,SNMP
9,46.2962962963,SNMP
10,41.6666666667,SNMP
11,37.8787878788,SNMP
12,34.7222222222,SNMP
13,32.0512820513,SNMP
14,29.7619047619,SNMP
15,27.7777777778,SNMP
16,26.0416666667,SNMP
17,24.5098039216,SNMP
18,23.1481481481,SNMP
19,21.9298245614,SNMP
20,20.8333333333,SNMP
21,19.8412698413,SNMP
22,18.9393939394,SNMP
23,18.115942029,SNMP
24,17.3611111111,SNMP
